conferenceName,conferenceSequence,divisionName,divisionSequence,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,pointPctg,points,streakCode,streakCount,winPctg,teamName.default,tri_code,date,season_id
Eastern,14,Southeast,4,20,-8,-0.4,47,39,1.95,0.4,16,L,1,0.35,Tampa Bay Lightning,TBL,11/22/2001,20012002
Eastern,15,Southeast,5,21,-39,-1.857143,81,42,2,0.285714,12,L,1,0.190476,Atlanta Thrashers,ATL,11/22/2001,20012002
Western,1,Central,1,23,28,1.217391,53,81,3.521739,0.847826,39,W,5,0.826087,Detroit Red Wings,DET,11/22/2001,20012002
Western,2,Northwest,1,21,20,0.952381,44,64,3.047619,0.761905,32,T,2,0.619048,Calgary Flames,CGY,11/22/2001,20012002
Western,3,Pacific,1,22,4,0.181818,55,59,2.681818,0.568182,25,L,1,0.409091,San Jose Sharks,SJS,11/22/2001,20012002
Western,4,Northwest,2,24,22,0.916667,47,69,2.875,0.666667,32,L,1,0.583333,Edmonton Oilers,EDM,11/22/2001,20012002
Western,5,Central,2,23,5,0.217391,64,69,3,0.608696,28,L,2,0.521739,Chicago Blackhawks,CHI,11/22/2001,20012002
Western,6,Pacific,2,21,1,0.047619,51,52,2.47619,0.571429,24,W,3,0.428571,Phoenix Coyotes,PHX,11/22/2001,20012002
Western,7,Central,3,20,5,0.25,45,50,2.5,0.55,22,L,3,0.45,St. Louis Blues,STL,11/22/2001,20012002
Western,8,Northwest,3,22,-11,-0.5,66,55,2.5,0.5,22,W,1,0.363636,Minnesota Wild,MIN,11/22/2001,20012002
Western,9,Pacific,3,22,-7,-0.318182,60,53,2.409091,0.5,22,T,1,0.318182,Dallas Stars,DAL,11/22/2001,20012002
Western,10,Northwest,4,24,0,0,63,63,2.625,0.458333,22,W,1,0.416667,Vancouver Canucks,VAN,11/22/2001,20012002
Western,11,Northwest,5,23,-3,-0.130435,51,48,2.086957,0.456522,21,L,2,0.434783,Colorado Avalanche,COL,11/22/2001,20012002
Western,12,Central,4,22,-7,-0.318182,65,58,2.636364,0.431818,19,W,1,0.363636,Nashville Predators,NSH,11/22/2001,20012002
Western,13,Pacific,4,22,-3,-0.136364,62,59,2.681818,0.386364,17,W,1,0.272727,Los Angeles Kings,LAK,11/22/2001,20012002
Western,14,Pacific,5,22,-16,-0.727273,63,47,2.136364,0.340909,15,L,5,0.272727,Anaheim Ducks,ANA,11/22/2001,20012002
Western,15,Central,5,22,-22,-1,63,41,1.863636,0.340909,15,OT,1,0.227273,Columbus Blue Jackets,CBJ,11/22/2001,20012002
Eastern,1,Northeast,1,21,30,1.428571,45,75,3.571429,0.761905,32,W,3,0.666667,Boston Bruins,BOS,11/28/2002,20022003
Eastern,2,Southeast,1,22,14,0.636364,57,71,3.227273,0.636364,28,T,1,0.545455,Tampa Bay Lightning,TBL,11/28/2002,20022003
Eastern,3,Atlantic,1,21,9,0.428571,60,69,3.285714,0.619048,26,W,3,0.47619,Pittsburgh Penguins,PIT,11/28/2002,20022003
Eastern,4,Atlantic,2,21,7,0.333333,49,56,2.666667,0.619048,26,L,2,0.47619,Philadelphia Flyers,PHI,11/28/2002,20022003
Eastern,5,Northeast,2,20,9,0.45,48,57,2.85,0.625,25,T,1,0.55,Ottawa Senators,OTT,11/28/2002,20022003
Eastern,6,Southeast,2,23,-1,-0.043478,55,54,2.347826,0.543478,25,L,2,0.391304,Carolina Hurricanes,CAR,11/28/2002,20022003
Eastern,7,Atlantic,3,19,8,0.421053,42,50,2.631579,0.631579,24,OT,1,0.578947,New Jersey Devils,NJD,11/28/2002,20022003
Eastern,8,Northeast,3,22,-8,-0.363636,69,61,2.772727,0.545455,24,W,1,0.454545,Montréal Canadiens,MTL,11/28/2002,20022003
Eastern,9,Southeast,3,24,-13,-0.541667,74,61,2.541667,0.5,24,W,1,0.291667,Florida Panthers,FLA,11/28/2002,20022003
Eastern,10,Atlantic,4,25,-16,-0.64,80,64,2.56,0.46,23,L,1,0.4,New York Rangers,NYR,11/28/2002,20022003
Eastern,11,Southeast,4,23,-7,-0.304348,64,57,2.478261,0.478261,22,W,1,0.434783,Washington Capitals,WSH,11/28/2002,20022003
Eastern,12,Northeast,4,22,3,0.136364,63,66,3,0.454545,20,W,1,0.409091,Toronto Maple Leafs,TOR,11/28/2002,20022003
Eastern,13,Atlantic,5,22,-15,-0.681818,73,58,2.636364,0.431818,19,T,1,0.363636,New York Islanders,NYI,11/28/2002,20022003
Eastern,14,Southeast,5,22,-24,-1.090909,84,60,2.727273,0.318182,14,W,1,0.272727,Atlanta Thrashers,ATL,11/28/2002,20022003
Eastern,15,Northeast,5,21,-14,-0.666667,60,46,2.190476,0.309524,13,T,1,0.190476,Buffalo Sabres,BUF,11/28/2002,20022003
Western,1,Pacific,1,25,33,1.32,48,81,3.24,0.7,35,W,2,0.6,Dallas Stars,DAL,11/28/2002,20022003
Western,2,Northwest,1,22,13,0.590909,53,66,3,0.681818,30,W,8,0.590909,Vancouver Canucks,VAN,11/28/2002,20022003
Western,3,Central,1,22,15,0.681818,51,66,3,0.636364,28,W,1,0.545455,Detroit Red Wings,DET,11/28/2002,20022003
Western,4,Northwest,2,24,12,0.5,53,65,2.708333,0.625,30,L,2,0.541667,Minnesota Wild,MIN,11/28/2002,20022003
Western,5,Central,2,21,14,0.666667,55,69,3.285714,0.619048,26,T,1,0.571429,St. Louis Blues,STL,11/28/2002,20022003
Western,6,Northwest,3,23,4,0.173913,59,63,2.73913,0.565217,26,T,1,0.347826,Colorado Avalanche,COL,11/28/2002,20022003
Western,7,Northwest,4,23,1,0.043478,61,62,2.695652,0.543478,25,W,2,0.434783,Edmonton Oilers,EDM,11/28/2002,20022003
Western,8,Pacific,2,22,-1,-0.045455,61,60,2.727273,0.545455,24,L,1,0.409091,Los Angeles Kings,LAK,11/28/2002,20022003
Western,9,Pacific,3,23,-5,-0.217391,61,56,2.434783,0.521739,24,T,2,0.347826,Anaheim Ducks,ANA,11/28/2002,20022003
Western,10,Central,3,22,2,0.090909,50,52,2.363636,0.522727,23,W,1,0.454545,Chicago Blackhawks,CHI,11/28/2002,20022003
Western,11,Central,4,22,-3,-0.136364,67,64,2.909091,0.454545,20,L,3,0.363636,Columbus Blue Jackets,CBJ,11/28/2002,20022003
Western,12,Pacific,4,23,-9,-0.391304,74,65,2.826087,0.434783,20,L,1,0.347826,San Jose Sharks,SJS,11/28/2002,20022003
Western,13,Pacific,5,24,-19,-0.791667,76,57,2.375,0.395833,19,L,1,0.291667,Phoenix Coyotes,PHX,11/28/2002,20022003
Western,14,Northwest,5,23,-19,-0.826087,67,48,2.086957,0.391304,18,L,2,0.26087,Calgary Flames,CGY,11/28/2002,20022003
Western,15,Central,5,21,-20,-0.952381,63,43,2.047619,0.333333,14,W,1,0.142857,Nashville Predators,NSH,11/28/2002,20022003
Eastern,1,Atlantic,1,20,24,1.2,37,61,3.05,0.75,30,T,1,0.6,Philadelphia Flyers,PHI,11/27/2003,20032004
Eastern,2,Northeast,1,21,11,0.52381,48,59,2.809524,0.690476,29,OT,1,0.52381,Boston Bruins,BOS,11/27/2003,20032004
Eastern,3,Southeast,1,18,16,0.888889,31,47,2.611111,0.722222,26,L,1,0.611111,Tampa Bay Lightning,TBL,11/27/2003,20032004
Eastern,4,Atlantic,2,20,20,1,33,53,2.65,0.725,29,T,1,0.6,New Jersey Devils,NJD,11/27/2003,20032004
Eastern,5,Northeast,2,23,-4,-0.173913,61,57,2.478261,0.586957,27,W,3,0.434783,Toronto Maple Leafs,TOR,11/27/2003,20032004
Eastern,6,Southeast,2,24,1,0.041667,68,69,2.875,0.541667,26,L,2,0.458333,Atlanta Thrashers,ATL,11/27/2003,20032004
Eastern,7,Northeast,3,21,15,0.714286,52,67,3.190476,0.547619,23,OT,1,0.428571,Ottawa Senators,OTT,11/27/2003,20032004
Eastern,8,Atlantic,3,22,3,0.136364,55,58,2.636364,0.522727,23,T,1,0.363636,New York Rangers,NYR,11/27/2003,20032004
Eastern,9,Northeast,4,23,-6,-0.26087,58,52,2.26087,0.5,23,W,1,0.434783,Buffalo Sabres,BUF,11/27/2003,20032004
Eastern,10,Southeast,3,24,-12,-0.5,65,53,2.208333,0.4375,21,T,1,0.375,Florida Panthers,FLA,11/27/2003,20032004
Eastern,11,Atlantic,4,20,10,0.5,48,58,2.9,0.5,20,L,3,0.45,New York Islanders,NYI,11/27/2003,20032004
Eastern,12,Northeast,5,22,-8,-0.363636,54,46,2.090909,0.454545,20,L,1,0.409091,Montréal Canadiens,MTL,11/27/2003,20032004
Eastern,13,Southeast,4,22,-10,-0.454545,53,43,1.954545,0.431818,19,W,1,0.272727,Carolina Hurricanes,CAR,11/27/2003,20032004
Eastern,14,Atlantic,5,20,-31,-1.55,68,37,1.85,0.375,15,T,1,0.25,Pittsburgh Penguins,PIT,11/27/2003,20032004
Eastern,15,Southeast,5,22,-12,-0.545455,66,54,2.454545,0.318182,14,L,1,0.272727,Washington Capitals,WSH,11/27/2003,20032004
Western,1,Northwest,1,24,23,0.958333,54,77,3.208333,0.666667,32,W,2,0.583333,Vancouver Canucks,VAN,11/27/2003,20032004
Western,2,Central,1,19,9,0.473684,43,52,2.736842,0.710526,27,W,2,0.684211,St. Louis Blues,STL,11/27/2003,20032004
Western,3,Pacific,1,23,-4,-0.173913,59,55,2.391304,0.5,23,W,2,0.434783,Dallas Stars,DAL,11/27/2003,20032004
Western,4,Northwest,2,22,13,0.590909,57,70,3.181818,0.636364,28,W,1,0.590909,Colorado Avalanche,COL,11/27/2003,20032004
Western,5,Central,2,23,16,0.695652,57,73,3.173913,0.565217,26,W,1,0.521739,Detroit Red Wings,DET,11/27/2003,20032004
Western,6,Northwest,3,22,-4,-0.181818,69,65,2.954545,0.522727,23,L,1,0.454545,Edmonton Oilers,EDM,11/27/2003,20032004
Western,7,Pacific,2,21,3,0.142857,51,54,2.571429,0.52381,22,L,2,0.47619,Los Angeles Kings,LAK,11/27/2003,20032004
Western,8,Pacific,3,22,-10,-0.454545,58,48,2.181818,0.5,22,T,1,0.318182,Anaheim Ducks,ANA,11/27/2003,20032004
Western,9,Pacific,4,22,-1,-0.045455,57,56,2.545455,0.5,22,W,3,0.272727,San Jose Sharks,SJS,11/27/2003,20032004
Western,10,Northwest,4,20,-6,-0.3,50,44,2.2,0.525,21,OT,1,0.45,Calgary Flames,CGY,11/27/2003,20032004
Western,11,Central,3,21,-3,-0.142857,57,54,2.571429,0.5,21,W,2,0.47619,Nashville Predators,NSH,11/27/2003,20032004
Western,12,Pacific,5,22,-15,-0.681818,70,55,2.5,0.454545,20,W,1,0.318182,Phoenix Coyotes,PHX,11/27/2003,20032004
Western,13,Northwest,5,22,-4,-0.181818,54,50,2.272727,0.431818,19,L,3,0.363636,Minnesota Wild,MIN,11/27/2003,20032004
Western,14,Central,4,23,-21,-0.913043,64,43,1.869565,0.413043,19,L,2,0.26087,Chicago Blackhawks,CHI,11/27/2003,20032004
Western,15,Central,5,22,-13,-0.590909,59,46,2.090909,0.409091,18,L,1,0.318182,Columbus Blue Jackets,CBJ,11/27/2003,20032004
Eastern,1,Atlantic,1,25,20,0.8,63,83,3.32,0.66,33,W,4,0.6,New York Rangers,NYR,11/24/2005,20052006
Eastern,2,Northeast,1,19,49,2.578947,41,90,4.736842,0.842105,32,W,3,0.842105,Ottawa Senators,OTT,11/24/2005,20052006
Eastern,3,Southeast,1,21,12,0.571429,63,75,3.571429,0.690476,29,L,3,0.666667,Carolina Hurricanes,CAR,11/24/2005,20052006
Eastern,4,Northeast,2,22,2,0.090909,66,68,3.090909,0.704545,31,W,1,0.636364,Montréal Canadiens,MTL,11/24/2005,20052006
Eastern,5,Atlantic,2,20,14,0.7,71,85,4.25,0.675,27,L,1,0.6,Philadelphia Flyers,PHI,11/24/2005,20052006
Eastern,6,Southeast,2,24,5,0.208333,71,76,3.166667,0.5625,27,W,4,0.5,Tampa Bay Lightning,TBL,11/24/2005,20052006
Eastern,7,Northeast,3,22,3,0.136364,76,79,3.590909,0.590909,26,L,1,0.545455,Toronto Maple Leafs,TOR,11/24/2005,20052006
Eastern,8,Northeast,4,22,-1,-0.045455,75,74,3.363636,0.568182,25,W,1,0.545455,Buffalo Sabres,BUF,11/24/2005,20052006
Eastern,9,Atlantic,3,22,-6,-0.272727,76,70,3.181818,0.522727,23,OT,1,0.5,New York Islanders,NYI,11/24/2005,20052006
Eastern,10,Atlantic,4,21,-7,-0.333333,73,66,3.142857,0.52381,22,W,1,0.47619,New Jersey Devils,NJD,11/24/2005,20052006
Eastern,11,Northeast,5,23,-6,-0.26087,80,74,3.217391,0.456522,21,W,1,0.347826,Boston Bruins,BOS,11/24/2005,20052006
Eastern,12,Atlantic,5,22,-25,-1.136364,93,68,3.090909,0.454545,20,W,1,0.318182,Pittsburgh Penguins,PIT,11/24/2005,20052006
Eastern,13,Southeast,3,22,-8,-0.363636,84,76,3.454545,0.409091,18,L,1,0.363636,Atlanta Thrashers,ATL,11/24/2005,20052006
Eastern,14,Southeast,4,22,-30,-1.363636,94,64,2.909091,0.386364,17,OT,1,0.363636,Washington Capitals,WSH,11/24/2005,20052006
Eastern,15,Southeast,5,22,-21,-0.954545,69,48,2.181818,0.363636,16,L,3,0.272727,Florida Panthers,FLA,11/24/2005,20052006
Western,1,Central,1,23,30,1.304348,57,87,3.782609,0.73913,34,W,1,0.695652,Detroit Red Wings,DET,11/24/2005,20052006
Western,2,Northwest,1,23,12,0.521739,64,76,3.304348,0.695652,32,W,3,0.652174,Vancouver Canucks,VAN,11/24/2005,20052006
Western,3,Pacific,1,23,21,0.913043,67,88,3.826087,0.673913,31,L,1,0.652174,Los Angeles Kings,LAK,11/24/2005,20052006
Western,4,Central,2,20,8,0.4,54,62,3.1,0.775,31,W,2,0.7,Nashville Predators,NSH,11/24/2005,20052006
Western,5,Northwest,2,24,0,0,62,62,2.583333,0.625,30,W,2,0.583333,Calgary Flames,CGY,11/24/2005,20052006
Western,6,Pacific,2,21,13,0.619048,62,75,3.571429,0.690476,29,W,5,0.666667,Dallas Stars,DAL,11/24/2005,20052006
Western,7,Northwest,3,24,3,0.125,72,75,3.125,0.5625,27,W,2,0.541667,Edmonton Oilers,EDM,11/24/2005,20052006
Western,8,Northwest,4,22,9,0.409091,75,84,3.818182,0.568182,25,L,1,0.5,Colorado Avalanche,COL,11/24/2005,20052006
Western,9,Pacific,3,24,4,0.166667,61,65,2.708333,0.5,24,L,1,0.458333,Phoenix Coyotes,PHX,11/24/2005,20052006
Western,10,Northwest,5,21,6,0.285714,51,57,2.714286,0.47619,20,L,1,0.428571,Minnesota Wild,MIN,11/24/2005,20052006
Western,11,Pacific,4,22,-16,-0.727273,72,56,2.545455,0.454545,20,L,2,0.363636,San Jose Sharks,SJS,11/24/2005,20052006
Western,12,Pacific,5,23,-7,-0.304348,65,58,2.521739,0.434783,20,L,1,0.347826,Anaheim Ducks,ANA,11/24/2005,20052006
Western,13,Central,3,21,-17,-0.809524,77,60,2.857143,0.428571,18,L,1,0.428571,Chicago Blackhawks,CHI,11/24/2005,20052006
Western,14,Central,4,20,-28,-1.4,80,52,2.6,0.275,11,L,1,0.2,St. Louis Blues,STL,11/24/2005,20052006
Western,15,Central,5,22,-39,-1.772727,79,40,1.818182,0.227273,10,L,6,0.227273,Columbus Blue Jackets,CBJ,11/24/2005,20052006
Eastern,1,Northeast,1,22,34,1.545455,67,101,4.590909,0.840909,37,W,2,0.818182,Buffalo Sabres,BUF,11/23/2006,20062007
Eastern,2,Southeast,1,23,9,0.391304,71,80,3.478261,0.630435,29,W,1,0.565217,Atlanta Thrashers,ATL,11/23/2006,20062007
Eastern,3,Atlantic,1,20,-3,-0.15,52,49,2.45,0.625,25,L,1,0.6,New Jersey Devils,NJD,11/23/2006,20062007
Eastern,4,Northeast,2,23,4,0.173913,75,79,3.434783,0.608696,28,L,1,0.521739,Toronto Maple Leafs,TOR,11/23/2006,20062007
Eastern,5,Northeast,3,20,8,0.4,56,64,3.2,0.675,27,W,2,0.6,Montréal Canadiens,MTL,11/23/2006,20062007
Eastern,6,Southeast,2,24,-1,-0.041667,79,78,3.25,0.5625,27,L,2,0.5,Carolina Hurricanes,CAR,11/23/2006,20062007
Eastern,7,Atlantic,2,22,6,0.272727,67,73,3.318182,0.568182,25,W,2,0.545455,New York Rangers,NYR,11/23/2006,20062007
Eastern,8,Atlantic,3,20,2,0.1,63,65,3.25,0.575,23,OT,1,0.5,Pittsburgh Penguins,PIT,11/23/2006,20062007
Eastern,9,Atlantic,4,20,0,0,56,56,2.8,0.575,23,W,1,0.5,New York Islanders,NYI,11/23/2006,20062007
Eastern,10,Southeast,3,22,2,0.090909,70,72,3.272727,0.522727,23,W,1,0.5,Tampa Bay Lightning,TBL,11/23/2006,20062007
Eastern,11,Southeast,4,21,-8,-0.380952,69,61,2.904762,0.52381,22,L,1,0.380952,Washington Capitals,WSH,11/23/2006,20062007
Eastern,12,Northeast,4,22,11,0.5,63,74,3.363636,0.477273,21,W,3,0.454545,Ottawa Senators,OTT,11/23/2006,20062007
Eastern,13,Northeast,5,19,-14,-0.736842,68,54,2.842105,0.526316,20,W,1,0.473684,Boston Bruins,BOS,11/23/2006,20062007
Eastern,14,Southeast,5,23,-15,-0.652174,79,64,2.782609,0.434783,20,L,1,0.347826,Florida Panthers,FLA,11/23/2006,20062007
Eastern,15,Atlantic,5,22,-36,-1.636364,89,53,2.409091,0.295455,13,OT,1,0.227273,Philadelphia Flyers,PHI,11/23/2006,20062007
Western,1,Pacific,1,23,24,1.043478,58,82,3.565217,0.782609,36,OT,1,0.652174,Anaheim Ducks,ANA,11/23/2006,20062007
Western,2,Central,1,21,15,0.714286,57,72,3.428571,0.714286,30,W,1,0.666667,Nashville Predators,NSH,11/23/2006,20062007
Western,3,Northwest,1,21,7,0.333333,56,63,3,0.595238,25,L,2,0.571429,Minnesota Wild,MIN,11/23/2006,20062007
Western,4,Pacific,2,23,21,0.913043,55,76,3.304348,0.695652,32,W,1,0.695652,San Jose Sharks,SJS,11/23/2006,20062007
Western,5,Pacific,3,21,16,0.761905,44,60,2.857143,0.714286,30,W,2,0.714286,Dallas Stars,DAL,11/23/2006,20062007
Western,6,Central,2,20,9,0.45,45,54,2.7,0.675,27,OT,2,0.6,Detroit Red Wings,DET,11/23/2006,20062007
Western,7,Northwest,2,21,6,0.285714,55,61,2.904762,0.595238,25,W,4,0.571429,Edmonton Oilers,EDM,11/23/2006,20062007
Western,8,Northwest,3,23,-8,-0.347826,62,54,2.347826,0.5,23,L,1,0.478261,Vancouver Canucks,VAN,11/23/2006,20062007
Western,9,Northwest,4,20,9,0.45,46,55,2.75,0.55,22,W,1,0.5,Calgary Flames,CGY,11/23/2006,20062007
Western,10,Northwest,5,22,3,0.136364,64,67,3.045455,0.5,22,W,1,0.454545,Colorado Avalanche,COL,11/23/2006,20062007
Western,11,Pacific,4,23,-16,-0.695652,78,62,2.695652,0.391304,18,L,1,0.304348,Los Angeles Kings,LAK,11/23/2006,20062007
Western,12,Central,3,20,-14,-0.7,62,48,2.4,0.4,16,L,2,0.35,Chicago Blackhawks,CHI,11/23/2006,20062007
Western,13,Central,4,20,-20,-1,70,50,2.5,0.375,15,W,1,0.3,St. Louis Blues,STL,11/23/2006,20062007
Western,14,Pacific,5,21,-29,-1.380952,83,54,2.571429,0.333333,14,W,1,0.333333,Phoenix Coyotes,PHX,11/23/2006,20062007
Western,15,Central,5,20,-22,-1.1,65,43,2.15,0.3,12,OT,1,0.25,Columbus Blue Jackets,CBJ,11/23/2006,20062007
Eastern,1,Northeast,1,21,19,0.904762,49,68,3.238095,0.785714,33,OT,1,0.761905,Ottawa Senators,OTT,11/22/2007,20072008
Eastern,2,Atlantic,1,22,8,0.363636,41,49,2.227273,0.613636,27,W,1,0.590909,New York Rangers,NYR,11/22/2007,20072008
Eastern,3,Southeast,1,22,10,0.454545,64,74,3.363636,0.613636,27,L,1,0.545455,Carolina Hurricanes,CAR,11/22/2007,20072008
Eastern,4,Northeast,2,21,12,0.571429,55,67,3.190476,0.642857,27,W,1,0.571429,Montréal Canadiens,MTL,11/22/2007,20072008
Eastern,5,Atlantic,2,20,10,0.5,53,63,3.15,0.625,25,W,1,0.6,Philadelphia Flyers,PHI,11/22/2007,20072008
Eastern,6,Atlantic,3,18,-3,-0.166667,49,46,2.555556,0.611111,22,L,1,0.611111,New York Islanders,NYI,11/22/2007,20072008
Eastern,7,Northeast,3,19,1,0.052632,48,49,2.578947,0.578947,22,W,1,0.526316,Boston Bruins,BOS,11/22/2007,20072008
Eastern,8,Southeast,2,21,-9,-0.428571,70,61,2.904762,0.52381,22,W,4,0.52381,Atlanta Thrashers,ATL,11/22/2007,20072008
Eastern,9,Southeast,3,21,6,0.285714,63,69,3.285714,0.52381,22,L,1,0.47619,Tampa Bay Lightning,TBL,11/22/2007,20072008
Eastern,10,Northeast,4,22,-10,-0.454545,78,68,3.090909,0.477273,21,L,1,0.363636,Toronto Maple Leafs,TOR,11/22/2007,20072008
Eastern,11,Southeast,4,23,-7,-0.304348,67,60,2.608696,0.456522,21,W,2,0.434783,Florida Panthers,FLA,11/22/2007,20072008
Eastern,12,Atlantic,4,21,-7,-0.333333,57,50,2.380952,0.47619,20,W,2,0.428571,New Jersey Devils,NJD,11/22/2007,20072008
